coin,hour_ts,ts,mid,mark,oracle,premium,funding,oi,day_vlm,bid,ask,bid_depth,ask_depth,net_szi,net_signed_notional,gross_notional,mean_leverage,n_long,n_short,binance_funding,binance_perp,binance_spot,bybit_funding,bybit_perp,n_posts,mean_sentiment,pos_frac,neg_frac,usdt_mcap,usdc_mcap,trend_bitcoin,trend_bitcoin_price,trend_buy_bitcoin,trend_coinbase,trend_crypto_crash,trend_cryptocurrency,trend_dollar,trend_ethereum,trend_how_to_buy_crypto,trend_oil,trend_recession,trend_sell_bitcoin,trend_weather,value,classification,gold_paxg,funding_div_binance,funding_div_bybit,basis_binance,collector_up,hour_of_day,day_of_week,is_weekend,session,ret,resid_ret,ret_xrank
BTC,1785574800,1785578280.0,63041.5,63041.0,63070.0,-0.0004439512,1.0191e-05,34023.80436,1452889701.4431183,63041.0,63042.0,327893.39261,1056204.4922300002,-1534.23171,-96698037.81606,166317766.64088,24.0625,6.0,10.0,,,,,,0.0,,,,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,,,,,True,9,5,1,europe,,,
BTC,1785578400,1785581940.0,63020.5,63021.0,63051.0,-0.0004758053,6.3915e-06,34044.25408,1424128153.2486324,63020.0,63021.0,808007.1671099999,1052482.20672,-1532.38622,-96575576.74306001,165902468.70404,24.0625,6.0,10.0,,63029.1,63056.0,,63030.6,27.0,0.018962962962962966,0.3333333333333333,0.25925925925925924,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4046.23,,,-35.5,True,10,5,1,europe,-0.00033311390116030903,,1.0
BTC,1785582000,1785582600.0,63017.5,63018.0,63045.4,-0.0004346074,5.0525e-06,34046.75252,1415320853.0290604,63017.0,63018.0,1854708.23275,417728.90433000005,-1532.38436,-96561668.06104,165878659.79468,24.0625,6.0,10.0,,63045.1,63076.0,,63049.0,0.0,,,,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4046.57,,,-58.5,True,11,5,1,europe,-4.760355757249535e-05,,0.75
BTC,1785585600,,,,,,,,,,,,,,,,,,,,63068.9,63103.68,,63069.2,0.0,,,,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4047.07,,,,False,12,5,1,europe,,,
BTC,1785589200,1785592680.0,63041.5,63041.0,63068.0,-0.0004122534,3.1064e-06,34127.00704,1113286171.4295785,63041.0,63042.0,250315.8911,2408093.70573,-1536.11301,-96838100.26341,165716806.55475,24.0625,6.0,10.0,,63036.7,63069.32,,63038.6,18.0,-0.11747777777777776,0.2222222222222222,0.4444444444444444,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4046.64,,,-27.81999999999971,True,13,5,1,us,,,
BTC,1785592800,1785596280.0,63066.5,63067.0,63093.6,-0.0004089163,6.0397e-06,34209.32896,772936285.98467,63066.0,63067.0,1042970.6786999999,297616.35935,-1457.97339,-91945633.86695999,160643539.55144,24.0625,6.0,10.0,,63097.1,63126.52,,63099.7,25.0,0.115024,0.4,0.32,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4046.32,,,-60.0199999999968,True,14,5,1,us,0.0003965641680481191,,0.25
BTC,1785596400,1785599880.0,63000.5,62996.0,63025.0,-0.0003808013,6.1025e-06,34236.0555,692055630.3964287,63000.0,63001.0,5290413.60664,2558971.8110100003,-1461.78655,-92094014.43654999,160477886.65761,24.0625,6.0,10.0,,62976.4,63007.06,,62972.7,23.0,0.020965217391304355,0.34782608695652173,0.2608695652173913,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4045.44,,,-6.559999999997672,True,15,5,1,us,-0.0010465143935369792,,0.75
BTC,1785600000,1785603540.0,62884.5,62885.7,62914.9,-0.0004450456,7.3379e-06,34260.4909,576647393.6506231,62885.0,62886.0,1192234.03505,197076.58731,-1443.69566,-90780710.08143,159362883.31215,24.0625,6.0,10.0,3.545e-05,62899.9,62932.32,4.871e-05,62904.7,39.0,0.1767128205128205,0.4358974358974359,0.3076923076923077,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4042.7,-2.81121e-05,-4.13721e-05,-47.81999999999971,True,16,5,1,us,-0.0018412552281331651,,0.5
BTC,1785603600,1785606360.0,62745.5,62746.0,62772.3,-0.0004189746,2.0926e-06,34824.27984,562703455.0547497,62745.0,62746.0,22441.75408,2421947.7914600004,-1359.72215,-85359287.42138001,158443387.15654,24.0625,7.0,9.0,3.545e-05,62684.0,62708.07,4.871e-05,62677.1,0.0,,,,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4042.0,-3.33574e-05,-4.66174e-05,37.43000000000029,True,17,5,1,us,-0.0022104016092996392,,1.0
BTC,1785607200,1785610680.0,62537.5,62540.0,62570.0,-0.0005114272,2.672e-06,34913.18232,597123272.1968803,62536.0,62537.0,367560.17055000004,1875269.1559199998,-1202.3453100000002,-75205536.61288,155065058.99598,24.0625,7.0,9.0,3.545e-05,62552.5,62580.56,4.871e-05,62551.3,18.0,0.08222222222222222,0.5,0.2777777777777778,183652403590.57578,71919740829.19958,,,,,,,,,,,,,,27,Fear,4039.2,-3.2778000000000004e-05,-4.6038e-05,-43.05999999999767,True,18,5,1,us,-0.0033149787634172423,,0.75
BTC,1785610800,1785614280.0,62505.5,62505.0,62536.0,-0.0004797237,8.686e-07,35062.57938,626774077.9702404,62505.0,62506.0,278311.75732,1279031.57146,-1187.80458,-74243382.856522,155866537.782806,24.0625,7.0,9.0,3.545e-05,62502.1,62529.82,4.871e-05,62496.8,27.0,0.1547,0.4074074074074074,0.18518518518518517,183652403590.57578,71919740829.19958,85.0,79.0,43.0,41.0,58.0,46.0,,70.0,,,,37.0,,27,Fear,4048.26,-3.45814e-05,-4.78414e-05,-24.31999999999971,True,19,5,1,us,-0.0005116929842094997,,0.5
BTC,1785614400,1785614640.0,62522.5,62523.0,62554.0,-0.0004955718,1.9757e-06,35137.39462,631650072.9608209,62522.0,62523.0,845606.7760699999,368037.00482000003,-1188.3210100000001,-74297327.0669,155874747.81604,24.0625,7.0,9.0,3.545e-05,62631.8,62662.13,4.871e-05,62625.9,41.0,0.09345609756097562,0.36585365853658536,0.2682926829268293,183652403590.57578,71919740829.19958,89.0,91.0,44.0,49.0,40.0,45.0,,78.0,65.0,,75.0,41.0,45.0,27,Fear,4048.73,-3.34743e-05,-4.67343e-05,-139.62999999999738,True,20,5,1,us,0.00027197606610607217,,0.5
BTC,1785618000,,,,,,,,,,,,,,,,,,,3.545e-05,62789.4,62812.75,4.871e-05,62792.2,0.0,,,,183652403590.57578,71919740829.19958,93.0,95.0,42.0,55.0,38.0,46.0,56.0,100.0,38.0,95.0,69.0,49.0,43.0,27,Fear,4049.06,,,,False,21,5,1,us,,,
