person_id,age,years_working,education,annual_income,parental_wealth_bracket,inheritance_received,homeowner,region_cost_of_living,dependents,health_shock,savings_rate,invests_in_markets,portfolio_equity_pct,diversification_score,financial_literacy,budgeting_consistency,impulse_spending,plans_ahead,carries_high_interest_debt,retirement_account,started_investing_age,years_investing,net_worth,financially_independent
PSN000000,45,20,some_college,79700.0,lower_mid,0.0,1,low,0,0,0.13,0,5,5.3,6.3,5.9,3.1,9.4,0,0,22,23,562600.0,0
PSN000001,38,17,bachelors,105800.0,upper_mid,141300.0,1,medium,0,0,0.254,1,50,8.3,7.1,6.0,1.9,8.6,0,1,44,0,765400.0,0
PSN000002,56,34,some_college,128700.0,lower_mid,5200.0,0,high,1,0,0.267,0,2,4.5,5.8,5.4,2.5,8.7,0,1,19,37,1081100.0,0
PSN000003,57,34,high_school,54100.0,middle,0.0,0,high,1,0,0.272,0,0,0.1,6.9,4.7,1.2,10.0,0,0,21,36,119600.0,0
PSN000004,35,12,bachelors,33700.0,top,0.0,1,low,4,0,0.106,1,25,2.1,10.0,6.1,4.0,10.0,1,1,22,13,218800.0,0
PSN000005,33,16,some_college,102000.0,upper_mid,35600.0,0,medium,4,0,0.365,0,11,5.6,4.0,5.0,3.9,6.0,0,0,32,1,135800.0,0
PSN000006,31,8,bachelors,123400.0,lower_mid,0.0,0,low,2,1,0.118,0,0,2.7,5.2,9.9,2.2,7.9,1,1,21,10,-29300.0,0
PSN000007,55,33,graduate,255700.0,top,0.0,1,medium,0,1,0.426,1,94,5.9,6.2,4.3,0.0,5.4,0,1,18,37,18109600.0,1
PSN000008,43,25,graduate,61100.0,middle,0.0,0,high,2,0,0.14,1,100,2.9,8.7,2.3,2.0,10.0,1,1,18,25,493300.0,0
PSN000009,38,17,some_college,78300.0,lower_mid,0.0,0,low,1,0,0.044,1,61,4.2,6.1,1.5,5.4,5.0,0,0,21,17,138100.0,0
PSN000010,72,50,some_college,94800.0,middle,0.0,1,medium,1,0,0.315,1,99,9.2,3.5,7.3,5.1,10.0,1,1,33,39,2830000.0,1
PSN000011,53,28,graduate,47000.0,lower_mid,0.0,0,medium,3,1,0.154,1,47,7.5,2.6,3.3,0.5,6.8,0,0,29,24,232900.0,0
PSN000012,42,18,high_school,44100.0,lower_mid,0.0,1,low,3,0,0.18,0,18,3.8,3.8,2.7,4.4,9.6,0,0,31,11,99400.0,0
PSN000013,35,9,graduate,96100.0,upper_mid,356500.0,1,low,1,0,0.534,1,33,6.4,10.0,5.5,6.8,8.1,0,1,18,17,1042800.0,0
PSN000014,46,18,bachelors,70000.0,lower_mid,0.0,0,low,1,0,0.039,1,28,7.8,6.2,5.1,2.3,7.9,1,1,28,18,36000.0,0
PSN000015,54,33,some_college,92900.0,bottom,0.0,0,high,2,1,0.372,0,0,5.5,5.3,4.6,5.0,8.1,0,1,19,35,711600.0,0
PSN000016,58,32,high_school,68600.0,lower_mid,0.0,0,low,0,0,0.119,0,22,8.1,4.3,5.3,0.6,4.8,0,0,27,31,102800.0,0
PSN000017,56,31,graduate,71800.0,lower_mid,0.0,1,high,1,0,0.107,0,9,9.3,9.7,2.0,3.7,9.4,0,1,18,38,377700.0,0
PSN000018,39,17,high_school,155900.0,top,855000.0,0,low,0,0,0.154,0,17,5.6,3.6,2.3,0.0,8.5,0,0,42,0,1147400.0,0
PSN000019,45,18,high_school,111400.0,upper_mid,0.0,0,high,2,0,0.194,0,16,10.0,5.5,5.7,0.0,8.1,0,1,21,24,207200.0,0
PSN000020,44,20,some_college,58900.0,middle,0.0,1,low,1,0,0.161,1,74,6.2,2.6,6.6,6.1,7.5,0,1,29,15,225200.0,0
PSN000021,28,6,bachelors,49500.0,bottom,0.0,1,low,0,1,0.155,1,20,7.8,4.6,1.4,3.5,3.8,0,1,28,0,70600.0,0
PSN000022,36,16,some_college,228800.0,middle,0.0,1,low,1,0,0.103,1,75,5.1,2.0,4.4,5.5,7.9,0,1,39,0,554000.0,0
PSN000023,26,4,high_school,53100.0,upper_mid,0.0,0,medium,4,0,0.059,0,13,1.5,5.9,1.9,0.9,7.0,1,1,34,0,-25500.0,0
PSN000024,25,7,bachelors,63400.0,middle,181600.0,0,medium,1,0,0.166,1,52,9.2,5.3,0.5,2.2,2.6,1,0,22,3,239500.0,0
PSN000025,49,24,some_college,91700.0,upper_mid,137300.0,1,low,0,0,0.112,1,40,6.6,5.9,8.7,4.0,7.2,0,1,18,31,763100.0,0
PSN000026,53,31,high_school,85500.0,lower_mid,62200.0,0,low,2,0,0.161,0,0,4.4,10.0,6.8,2.0,7.9,0,1,47,6,221800.0,0
PSN000027,38,14,bachelors,111300.0,upper_mid,277400.0,0,high,0,0,0.115,1,77,1.9,4.1,7.2,1.2,9.7,1,0,21,17,743400.0,0
PSN000028,70,47,high_school,99100.0,upper_mid,0.0,1,low,3,0,0.23,0,0,4.8,6.0,10.0,5.2,7.8,0,1,25,45,213100.0,0
PSN000029,26,5,bachelors,59800.0,top,0.0,1,high,2,0,0.389,1,73,8.3,4.9,7.4,2.3,1.8,0,0,40,0,61300.0,0
PSN000030,32,11,some_college,105800.0,middle,20200.0,0,medium,1,0,0.276,0,1,3.8,2.9,3.5,3.9,4.7,1,1,28,4,38700.0,0
PSN000031,30,3,some_college,54900.0,middle,0.0,1,high,2,0,0.356,0,10,9.3,9.4,2.6,1.5,9.7,0,1,18,12,199300.0,0
PSN000032,47,24,bachelors,220200.0,top,0.0,1,high,1,0,0.072,1,100,8.6,4.7,7.3,3.3,8.4,0,1,33,14,426800.0,0
PSN000033,59,37,some_college,140300.0,middle,0.0,1,high,1,0,0.123,1,22,2.0,1.6,8.3,5.4,5.6,1,1,47,12,594000.0,0
PSN000034,37,12,bachelors,94500.0,upper_mid,645300.0,1,high,1,0,0.097,1,64,2.7,8.5,4.5,2.0,9.7,1,1,25,12,998200.0,0
PSN000035,33,11,bachelors,107500.0,upper_mid,39200.0,1,high,0,0,0.3,0,4,3.1,7.9,6.8,3.3,10.0,0,1,18,15,161200.0,0
PSN000036,31,8,graduate,89500.0,bottom,0.0,0,high,0,0,0.427,1,66,5.2,7.5,7.5,2.3,7.1,0,1,18,13,245200.0,0
PSN000037,34,12,high_school,99000.0,upper_mid,0.0,1,medium,1,0,0.133,1,28,4.7,6.5,3.8,4.0,6.5,0,1,18,16,401600.0,0
PSN000038,37,19,bachelors,164600.0,upper_mid,20600.0,0,medium,1,0,0.42,0,8,7.6,6.3,3.9,4.0,6.4,0,1,26,11,494800.0,0
PSN000039,80,55,some_college,205300.0,lower_mid,338500.0,1,medium,2,0,0.108,1,74,1.1,8.4,2.2,3.2,10.0,1,1,25,55,11078400.0,1
PSN000040,43,19,high_school,70200.0,lower_mid,0.0,1,medium,0,0,0.117,0,4,2.8,6.2,1.5,3.8,7.6,0,1,21,22,125200.0,0
PSN000041,54,26,high_school,30800.0,middle,0.0,0,medium,1,0,0.248,1,69,6.8,0.8,8.4,4.5,4.4,1,0,37,17,182800.0,0
PSN000042,22,0,bachelors,84700.0,bottom,0.0,1,high,0,0,0.094,0,3,4.8,6.2,4.1,2.5,9.5,0,1,22,0,59000.0,0
PSN000043,28,5,graduate,100400.0,lower_mid,0.0,1,low,0,0,0.175,1,79,9.4,4.9,9.4,1.2,3.5,0,0,18,10,306900.0,0
PSN000044,61,42,some_college,77800.0,bottom,0.0,1,low,1,0,0.318,0,0,5.0,6.8,3.0,0.9,8.0,0,0,44,17,253600.0,0
PSN000045,38,14,bachelors,63100.0,lower_mid,0.0,0,low,1,0,0.119,0,17,2.1,5.0,5.6,5.5,4.8,1,1,19,19,72100.0,0
PSN000046,49,29,bachelors,50600.0,upper_mid,0.0,1,medium,0,0,0.123,1,86,7.5,10.0,2.2,0.0,8.9,0,1,18,31,939200.0,0
PSN000047,42,15,high_school,58900.0,bottom,0.0,0,low,0,0,0.102,1,58,10.0,4.5,1.7,0.1,8.2,0,1,27,15,82800.0,0
PSN000048,38,15,bachelors,109600.0,lower_mid,262700.0,0,low,0,0,0.276,0,0,4.9,5.2,6.1,5.7,6.1,0,0,33,5,439200.0,0
PSN000049,43,21,bachelors,117300.0,upper_mid,0.0,0,medium,1,1,0.181,1,43,8.1,4.4,2.9,7.4,10.0,1,1,40,3,181400.0,0
PSN000050,26,10,high_school,59000.0,upper_mid,0.0,0,medium,0,0,0.218,1,56,8.7,3.7,2.1,2.3,4.8,0,1,31,0,80700.0,0
PSN000051,52,25,high_school,45500.0,bottom,0.0,0,high,0,0,0.356,1,52,6.6,7.3,5.9,7.1,10.0,0,1,20,32,578500.0,0
PSN000052,49,28,high_school,89300.0,bottom,0.0,0,low,0,0,0.236,0,0,3.9,1.6,4.5,3.0,4.9,1,0,36,13,82600.0,0
PSN000053,60,40,bachelors,57300.0,middle,17900.0,0,low,1,1,0.211,0,0,2.3,3.8,4.5,4.3,7.1,0,1,31,29,284800.0,0
PSN000054,60,39,high_school,42700.0,upper_mid,258500.0,1,high,2,0,0.127,0,5,4.4,7.5,7.9,2.9,6.7,0,1,30,30,845800.0,0
PSN000055,53,29,bachelors,54100.0,lower_mid,0.0,1,low,1,0,0.267,0,2,4.8,4.7,7.9,0.3,6.0,0,1,32,21,415800.0,0
PSN000056,41,9,bachelors,40000.0,middle,932200.0,1,low,0,0,0.214,1,63,4.5,8.5,2.6,1.6,5.4,0,0,26,15,1582100.0,1
PSN000057,65,41,high_school,135900.0,upper_mid,0.0,0,low,0,0,0.17,1,19,4.7,6.7,4.1,1.5,6.4,0,0,18,47,3732900.0,1
PSN000058,46,22,some_college,67200.0,lower_mid,0.0,1,medium,4,1,0.258,0,5,7.8,4.8,2.0,0.0,8.1,0,1,26,20,223900.0,0
PSN000059,55,37,bachelors,118600.0,middle,0.0,1,high,2,0,0.304,1,72,5.8,6.8,7.2,5.8,8.1,0,1,21,34,1531000.0,0
PSN000060,30,7,graduate,134800.0,upper_mid,46700.0,1,low,3,1,0.182,1,47,4.2,7.3,5.8,5.2,6.2,0,1,30,0,306600.0,0
PSN000061,31,6,some_college,88900.0,middle,0.0,1,low,1,0,0.075,0,18,7.3,3.4,8.1,4.7,7.6,1,0,33,0,62500.0,0
PSN000062,39,19,some_college,63300.0,upper_mid,186000.0,1,medium,1,0,0.161,1,63,7.1,2.3,5.2,5.6,9.1,0,0,27,12,1373300.0,1
PSN000063,22,1,high_school,61900.0,lower_mid,0.0,0,low,2,0,0.183,1,65,6.9,4.2,4.2,3.2,9.0,0,1,18,4,7600.0,0
PSN000064,51,24,some_college,99700.0,bottom,0.0,1,medium,1,0,0.498,1,55,6.9,6.5,3.3,4.4,5.0,0,1,18,33,2746800.0,1
PSN000065,38,19,high_school,73700.0,middle,9000.0,1,medium,0,0,0.544,1,45,4.7,2.2,3.4,7.4,3.4,0,1,44,0,463700.0,0
PSN000066,22,0,graduate,86900.0,top,902000.0,1,medium,0,0,0.145,1,85,7.3,8.7,4.6,7.3,7.2,0,1,20,2,1207400.0,0
PSN000067,32,6,bachelors,128000.0,top,688400.0,1,medium,1,0,0.161,1,78,6.2,3.6,6.0,4.4,6.6,1,1,42,0,870500.0,0
PSN000068,43,20,high_school,86100.0,bottom,0.0,0,medium,3,0,0.425,0,17,8.0,2.5,3.9,4.2,9.3,0,0,30,13,266800.0,0
PSN000069,44,20,graduate,67100.0,bottom,0.0,0,low,2,0,0.321,1,34,9.1,9.0,3.9,9.0,6.4,0,1,26,18,240300.0,0
PSN000070,28,6,high_school,41200.0,middle,0.0,0,medium,0,0,0.192,0,3,7.2,4.4,6.1,5.2,6.1,0,1,18,10,19300.0,0
PSN000071,61,34,bachelors,107800.0,lower_mid,59500.0,0,low,4,0,0.306,1,55,4.5,9.7,9.1,0.3,8.0,0,1,18,43,12828800.0,1
PSN000072,58,29,some_college,94000.0,bottom,0.0,0,low,1,0,0.363,1,63,5.7,4.6,5.7,3.4,6.3,0,0,38,20,669600.0,0
PSN000073,74,49,high_school,125200.0,bottom,0.0,1,low,2,0,0.164,0,12,2.8,7.5,7.0,6.1,6.2,1,1,30,44,730300.0,0
PSN000074,49,28,graduate,79400.0,upper_mid,478200.0,1,low,1,0,0.074,1,69,6.8,5.9,2.4,5.7,9.8,1,1,28,21,2409700.0,1
PSN000075,31,3,some_college,20100.0,lower_mid,0.0,1,low,1,0,0.17,1,88,2.7,5.6,5.5,3.6,3.9,0,0,23,8,89200.0,0
PSN000076,41,15,bachelors,63700.0,lower_mid,0.0,0,medium,0,0,0.469,1,53,5.4,4.6,6.9,4.7,8.4,0,1,38,3,307800.0,0
PSN000077,47,20,some_college,149700.0,middle,317400.0,1,high,0,0,0.058,0,14,4.6,4.3,5.4,3.7,2.6,0,1,29,18,559900.0,0
PSN000078,44,20,bachelors,41400.0,middle,2969400.0,1,medium,0,1,0.379,0,3,7.4,2.6,3.6,3.4,9.2,1,0,27,17,3886200.0,1
PSN000079,40,18,graduate,260000.0,top,0.0,1,high,1,0,0.104,1,61,7.7,2.1,3.4,3.4,5.9,0,1,24,16,399700.0,0
PSN000080,43,16,bachelors,55000.0,lower_mid,0.0,0,medium,0,0,0.19,0,0,2.6,3.8,6.1,9.0,5.5,1,0,27,16,1400.0,0
PSN000081,52,26,graduate,236400.0,lower_mid,0.0,0,medium,1,0,0.179,1,88,2.7,7.9,6.8,4.2,10.0,0,1,21,31,2586400.0,0
PSN000082,31,11,bachelors,40100.0,upper_mid,59000.0,1,medium,0,0,0.143,1,54,6.9,4.5,6.4,2.2,9.0,1,1,35,0,309000.0,0
PSN000083,56,30,bachelors,178100.0,lower_mid,55300.0,1,high,1,0,0.093,0,2,6.5,1.6,5.7,3.7,5.8,0,1,26,30,521900.0,0
PSN000084,48,30,some_college,46500.0,bottom,0.0,1,medium,3,0,0.6,0,11,8.9,5.1,7.6,5.7,7.3,0,0,24,24,284000.0,0
PSN000085,58,31,high_school,41400.0,bottom,0.0,1,low,3,0,0.25,1,64,2.1,2.6,0.0,5.3,3.1,0,1,39,19,812700.0,1
PSN000086,44,21,some_college,101300.0,lower_mid,0.0,0,medium,0,0,0.085,1,71,8.7,4.1,6.3,2.3,6.4,1,1,30,14,351700.0,0
PSN000087,45,24,bachelors,73300.0,lower_mid,0.0,1,low,0,0,0.468,1,69,5.8,5.9,6.0,4.9,10.0,1,1,21,24,1546200.0,1
PSN000088,32,7,bachelors,82500.0,middle,18300.0,1,high,3,0,0.583,0,0,1.1,6.2,4.1,2.7,4.9,1,1,41,0,203000.0,0
PSN000089,41,17,bachelors,55500.0,middle,0.0,1,medium,3,0,0.097,1,35,2.9,10.0,5.2,5.4,10.0,0,1,21,20,496900.0,0
PSN000090,29,9,bachelors,113700.0,middle,84300.0,1,medium,1,0,0.141,1,38,3.6,8.7,4.7,0.0,7.9,0,1,22,7,319000.0,0
PSN000091,47,23,bachelors,131000.0,upper_mid,1425500.0,1,low,0,0,0.218,1,29,7.8,5.1,1.8,2.1,5.8,1,1,26,21,5314100.0,1
PSN000092,46,24,high_school,283800.0,top,0.0,1,low,0,0,0.213,0,6,0.6,3.3,4.1,4.3,5.7,0,0,31,15,776500.0,0
PSN000093,49,26,high_school,64400.0,middle,31200.0,0,medium,1,0,0.092,0,0,5.8,8.1,5.8,1.0,10.0,1,0,22,27,81100.0,0
PSN000094,42,20,bachelors,141800.0,middle,0.0,1,low,2,0,0.562,1,78,7.1,3.1,4.4,1.4,3.9,0,0,21,21,2773800.0,1
PSN000095,43,22,some_college,68900.0,top,905000.0,1,low,1,0,0.088,0,1,0.9,5.3,8.0,2.9,8.8,0,0,38,5,1629700.0,1
PSN000096,36,15,high_school,61400.0,middle,66200.0,0,medium,1,1,0.328,1,77,7.6,5.0,5.1,0.0,6.2,1,1,25,11,404500.0,0
PSN000097,50,26,graduate,126400.0,middle,366900.0,1,high,1,0,0.206,1,25,10.0,6.5,8.5,0.0,8.8,0,1,29,21,1535200.0,0
PSN000098,48,26,high_school,125900.0,top,0.0,1,medium,1,1,0.285,0,17,6.1,2.5,3.9,7.1,7.2,1,0,38,10,230700.0,0
PSN000099,23,0,some_college,73000.0,bottom,0.0,0,high,2,0,0.338,1,67,6.8,3.6,9.2,6.6,8.7,0,1,39,0,13200.0,0
PSN000100,26,13,graduate,126400.0,lower_mid,29300.0,1,medium,0,0,0.318,1,58,5.2,7.6,3.1,0.6,8.8,0,1,34,0,365500.0,0
PSN000101,45,18,high_school,200700.0,bottom,0.0,0,low,0,0,0.375,1,29,5.5,2.5,5.2,2.5,4.6,1,1,22,23,3133000.0,0
PSN000102,24,2,some_college,33000.0,top,0.0,1,medium,2,1,0.24,1,30,4.8,5.6,5.7,0.7,10.0,1,0,20,4,-93200.0,0
PSN000103,22,1,high_school,41100.0,upper_mid,29600.0,0,medium,1,1,0.237,1,41,5.9,6.6,3.8,2.5,8.9,0,0,31,0,6000.0,0
PSN000104,38,20,high_school,55500.0,bottom,0.0,0,low,0,0,0.126,0,6,4.9,5.4,4.8,4.4,9.8,1,0,23,15,500.0,0
PSN000105,38,19,bachelors,88500.0,bottom,0.0,0,medium,0,0,0.092,0,18,9.2,3.9,4.7,2.0,2.4,1,1,39,0,-12200.0,0
PSN000106,74,50,high_school,150300.0,bottom,0.0,0,medium,2,0,0.238,1,20,4.2,0.0,3.7,3.0,5.7,1,0,40,34,2217600.0,0
PSN000107,37,16,graduate,346300.0,lower_mid,218300.0,0,high,1,1,0.124,1,18,5.4,4.6,8.5,2.2,8.2,0,1,22,15,428500.0,0
PSN000108,33,13,graduate,55800.0,middle,0.0,1,medium,1,0,0.11,1,77,7.7,10.0,1.1,5.0,8.6,0,1,26,7,151600.0,0
PSN000109,54,25,high_school,83900.0,middle,0.0,0,high,1,0,0.189,1,94,5.2,7.3,4.3,1.9,10.0,1,1,33,21,665500.0,0
PSN000110,42,21,some_college,103300.0,bottom,56900.0,0,medium,1,0,0.262,1,60,9.1,4.8,2.9,2.0,4.3,0,1,31,11,530400.0,0
PSN000111,46,26,high_school,120900.0,middle,0.0,0,high,2,0,0.273,0,2,3.9,3.8,6.4,5.9,6.4,0,1,36,10,260100.0,0
PSN000112,46,20,some_college,57400.0,middle,0.0,1,high,3,0,0.146,0,0,9.7,5.5,7.6,1.4,10.0,0,1,32,14,108700.0,0
PSN000113,57,39,some_college,186100.0,lower_mid,59100.0,0,medium,3,0,0.444,0,15,5.7,5.4,3.7,3.0,4.5,0,1,21,36,602800.0,0
